IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
4.255.56.138,443,true,IAD,North America,Ashburn,282 ms,5559 kB/s
4.255.56.137,443,true,IAD,North America,Ashburn,277 ms,3311 kB/s
20.108.51.255,443,true,LHR,Europe,London,283 ms,2899 kB/s
20.220.204.217,443,true,YYZ,North America,Toronto,226 ms,2718 kB/s
52.151.81.2,2083,true,LHR,Europe,London,294 ms,2438 kB/s
20.240.254.247,8443,true,ARN,Europe,Stockholm,319 ms,2421 kB/s
20.62.202.159,443,true,IAD,North America,Ashburn,282 ms,2069 kB/s
51.107.13.85,8443,true,MXP,Europe,Milan,279 ms,1865 kB/s
20.170.41.153,443,true,FRA,Europe,Frankfurt,285 ms,483 kB/s
52.137.60.154,443,true,AMS,Europe,Amsterdam,291 ms,86 kB/s
20.83.149.174,443,true,IAD,North America,Ashburn,283 ms,0 kB/s
