IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
35.246.191.74,443,true,FRA,Europe,Frankfurt,230 ms,6661 kB/s
34.154.207.194,443,true,FRA,Europe,Frankfurt,245 ms,6659 kB/s
34.41.252.92,443,true,ORD,North America,Chicago,253 ms,6564 kB/s
34.154.55.116,443,true,FRA,Europe,Frankfurt,250 ms,6437 kB/s
34.154.183.87,443,true,FRA,Europe,Frankfurt,239 ms,6421 kB/s
34.118.21.191,443,true,AMS,Europe,Amsterdam,269 ms,6298 kB/s
34.154.187.142,443,true,FRA,Europe,Frankfurt,246 ms,6160 kB/s
34.154.251.207,443,true,FRA,Europe,Frankfurt,240 ms,6033 kB/s
34.147.91.221,443,true,FRA,Europe,Frankfurt,243 ms,5710 kB/s
34.118.17.210,443,true,FRA,Europe,Frankfurt,270 ms,5636 kB/s
34.154.121.129,443,true,FRA,Europe,Frankfurt,234 ms,5604 kB/s
34.159.49.76,443,true,FRA,Europe,Frankfurt,240 ms,5538 kB/s
34.116.181.8,443,true,FRA,Europe,Frankfurt,265 ms,5353 kB/s
34.116.255.60,443,true,FRA,Europe,Frankfurt,268 ms,5184 kB/s
34.159.230.29,443,true,FRA,Europe,Frankfurt,244 ms,5170 kB/s
34.89.252.171,443,true,FRA,Europe,Frankfurt,231 ms,5149 kB/s
34.116.215.27,443,true,FRA,Europe,Frankfurt,268 ms,5134 kB/s
34.159.4.110,443,true,FRA,Europe,Frankfurt,239 ms,4351 kB/s
34.105.49.234,443,true,SEA,North America,Seattle,205 ms,4344 kB/s
35.204.49.26,443,true,FRA,Europe,Frankfurt,247 ms,4318 kB/s
34.123.83.237,443,true,ORD,North America,Chicago,257 ms,4260 kB/s
34.89.142.227,443,true,FRA,Europe,Frankfurt,251 ms,3572 kB/s
34.65.7.101,443,true,FRA,Europe,Frankfurt,236 ms,3556 kB/s
34.163.89.60,2053,true,CDG,Europe,Paris,334 ms,3379 kB/s
34.159.192.215,443,true,FRA,Europe,Frankfurt,246 ms,3026 kB/s
34.116.204.154,443,true,FRA,Europe,Frankfurt,250 ms,2914 kB/s
34.91.231.89,443,true,FRA,Europe,Frankfurt,268 ms,2684 kB/s
34.118.6.166,443,true,FRA,Europe,Frankfurt,262 ms,2478 kB/s
34.66.72.229,443,true,ORD,North America,Chicago,257 ms,2180 kB/s
34.154.158.134,443,true,FRA,Europe,Frankfurt,238 ms,2127 kB/s
34.154.159.86,443,true,FRA,Europe,Frankfurt,232 ms,1772 kB/s
34.65.8.62,443,true,FRA,Europe,Frankfurt,264 ms,1535 kB/s
34.32.247.234,443,true,FRA,Europe,Frankfurt,258 ms,1500 kB/s
34.65.248.147,443,true,FRA,Europe,Frankfurt,255 ms,1483 kB/s
34.32.162.203,443,true,FRA,Europe,Frankfurt,235 ms,1481 kB/s
35.230.79.26,443,true,SEA,North America,Seattle,201 ms,1359 kB/s
34.154.29.216,443,true,FRA,Europe,Frankfurt,241 ms,1306 kB/s
34.118.96.126,443,true,FRA,Europe,Frankfurt,254 ms,1270 kB/s
34.159.20.254,443,true,FRA,Europe,Frankfurt,249 ms,1164 kB/s
34.154.195.183,443,true,FRA,Europe,Frankfurt,255 ms,1161 kB/s
34.154.75.182,443,true,FRA,Europe,Frankfurt,235 ms,1091 kB/s
34.154.29.94,443,true,FRA,Europe,Frankfurt,247 ms,1065 kB/s
34.118.82.161,443,true,FRA,Europe,Frankfurt,261 ms,1049 kB/s
34.65.77.135,443,true,FRA,Europe,Frankfurt,243 ms,984 kB/s
34.118.46.218,443,true,FRA,Europe,Frankfurt,265 ms,981 kB/s
