IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
34.159.161.59,443,true,FRA,Europe,Frankfurt,232 ms,979 kB/s
34.32.230.110,443,true,FRA,Europe,Frankfurt,269 ms,975 kB/s
34.88.63.160,443,true,FRA,Europe,Frankfurt,356 ms,969 kB/s
34.154.45.210,443,true,FRA,Europe,Frankfurt,253 ms,960 kB/s
35.197.23.75,443,true,SEA,North America,Seattle,207 ms,946 kB/s
34.118.122.123,443,true,FRA,Europe,Frankfurt,261 ms,940 kB/s
34.154.180.32,443,true,FRA,Europe,Frankfurt,252 ms,933 kB/s
34.118.23.155,443,true,FRA,Europe,Frankfurt,244 ms,924 kB/s
34.116.157.41,443,true,FRA,Europe,Frankfurt,258 ms,905 kB/s
34.154.39.207,443,true,FRA,Europe,Frankfurt,252 ms,865 kB/s
34.154.197.137,443,true,FRA,Europe,Frankfurt,251 ms,842 kB/s
34.141.162.183,443,true,FRA,Europe,Frankfurt,237 ms,760 kB/s
34.154.212.32,443,true,FRA,Europe,Frankfurt,242 ms,713 kB/s
34.154.164.171,443,true,FRA,Europe,Frankfurt,237 ms,668 kB/s
34.91.101.211,443,true,FRA,Europe,Frankfurt,255 ms,553 kB/s
34.154.253.254,443,true,FRA,Europe,Frankfurt,255 ms,553 kB/s
34.118.12.204,443,true,FRA,Europe,Frankfurt,247 ms,515 kB/s
34.154.106.76,443,true,FRA,Europe,Frankfurt,237 ms,505 kB/s
34.118.68.230,443,true,FRA,Europe,Frankfurt,263 ms,496 kB/s
34.65.165.68,443,true,FRA,Europe,Frankfurt,262 ms,409 kB/s
34.118.46.98,443,true,FRA,Europe,Frankfurt,264 ms,400 kB/s
34.89.158.132,443,true,FRA,Europe,Frankfurt,245 ms,399 kB/s
35.204.138.58,443,true,FRA,Europe,Frankfurt,261 ms,398 kB/s
34.118.16.81,443,true,FRA,Europe,Frankfurt,272 ms,372 kB/s
35.204.216.23,443,true,FRA,Europe,Frankfurt,261 ms,252 kB/s
34.118.117.182,443,true,FRA,Europe,Frankfurt,255 ms,185 kB/s
35.242.221.191,443,true,FRA,Europe,Frankfurt,253 ms,147 kB/s
34.118.16.200,443,true,FRA,Europe,Frankfurt,251 ms,89 kB/s
34.118.53.218,443,true,FRA,Europe,Frankfurt,251 ms,0 kB/s
34.82.76.253,443,true,SEA,North America,Seattle,209 ms,0 kB/s
34.105.3.218,443,true,SEA,North America,Seattle,211 ms,0 kB/s
35.236.55.171,443,true,LAX,North America,Los Angeles,214 ms,0 kB/s
34.154.48.195,443,true,FRA,Europe,Frankfurt,251 ms,0 kB/s
