IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
8.219.124.227	2087	true	SIN	Asia Pacific	Singapore	243 ms	5162 kB/s
47.245.105.224	2053	true	SIN	Asia Pacific	Singapore	233 ms	5155 kB/s
8.222.208.83	2053	true	SIN	Asia Pacific	Singapore	218 ms	5154 kB/s
8.222.223.34	2087	true	SIN	Asia Pacific	Singapore	238 ms	5148 kB/s
8.219.179.34	2083	true	SIN	Asia Pacific	Singapore	241 ms	5141 kB/s
8.219.124.227	2083	true	SIN	Asia Pacific	Singapore	237 ms	5138 kB/s
8.222.223.34	2083	true	SIN	Asia Pacific	Singapore	236 ms	5136 kB/s
8.219.42.72	2096	true	SIN	Asia Pacific	Singapore	229 ms	5110 kB/s
8.222.214.231	2087	true	SIN	Asia Pacific	Singapore	223 ms	5106 kB/s
8.219.179.34	2087	true	SIN	Asia Pacific	Singapore	235 ms	5090 kB/s
8.219.179.34	2053	true	SIN	Asia Pacific	Singapore	226 ms	5068 kB/s
47.236.164.215	2083	true	SIN	Asia Pacific	Singapore	249 ms	5020 kB/s
8.219.124.227	2096	true	SIN	Asia Pacific	Singapore	225 ms	5020 kB/s
47.245.108.213	2083	true	SIN	Asia Pacific	Singapore	250 ms	5020 kB/s
47.236.171.205	2053	true	SIN	Asia Pacific	Singapore	220 ms	5008 kB/s
47.243.27.217	2087	true	HKG	Asia Pacific	Hong Kong	60 ms	4999 kB/s
8.222.136.247	2053	true	SIN	Asia Pacific	Singapore	224 ms	4993 kB/s
47.236.172.71	2053	true	SIN	Asia Pacific	Singapore	224 ms	4987 kB/s
8.219.86.200	2053	true	SIN	Asia Pacific	Singapore	227 ms	4978 kB/s
47.237.8.82	2096	true	SIN	Asia Pacific	Singapore	232 ms	4962 kB/s
8.219.72.51	2083	true	SIN	Asia Pacific	Singapore	226 ms	4954 kB/s
47.236.171.205	2083	true	SIN	Asia Pacific	Singapore	240 ms	4944 kB/s
8.218.143.10	2096	true	HKG	Asia Pacific	Hong Kong	62 ms	4937 kB/s
47.236.123.133	2087	true	SIN	Asia Pacific	Singapore	241 ms	4936 kB/s
47.236.174.206	2096	true	SIN	Asia Pacific	Singapore	223 ms	4936 kB/s
47.236.167.231	8443	true	SIN	Asia Pacific	Singapore	226 ms	4933 kB/s
8.219.122.96	2083	true	SIN	Asia Pacific	Singapore	244 ms	4912 kB/s
47.236.144.48	2087	true	SIN	Asia Pacific	Singapore	246 ms	4908 kB/s
8.219.147.58	2096	true	SIN	Asia Pacific	Singapore	236 ms	4905 kB/s
47.236.167.231	2087	true	SIN	Asia Pacific	Singapore	246 ms	4882 kB/s
47.245.108.213	8443	true	SIN	Asia Pacific	Singapore	234 ms	4870 kB/s
47.243.203.119	2083	true	HKG	Asia Pacific	Hong Kong	57 ms	4862 kB/s
8.219.42.72	2083	true	SIN	Asia Pacific	Singapore	230 ms	4847 kB/s
8.222.208.83	2087	true	SIN	Asia Pacific	Singapore	232 ms	4841 kB/s
47.236.169.141	8443	true	SIN	Asia Pacific	Singapore	245 ms	4818 kB/s
8.219.177.205	2087	true	SIN	Asia Pacific	Singapore	228 ms	4818 kB/s
8.219.42.72	8443	true	SIN	Asia Pacific	Singapore	249 ms	4802 kB/s
8.219.122.96	2087	true	SIN	Asia Pacific	Singapore	234 ms	4781 kB/s
8.219.177.205	2083	true	SIN	Asia Pacific	Singapore	232 ms	4756 kB/s
