IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
47.236.121.23	8443	true	SIN	Asia Pacific	Singapore	224 ms	1129 kB/s
47.236.253.41	2083	true	SIN	Asia Pacific	Singapore	222 ms	934 kB/s
8.217.167.88	8443	true	HKG	Asia Pacific	Hong Kong	57 ms	825 kB/s
8.210.21.65	443	true	HKG	Asia Pacific	Hong Kong	53 ms	780 kB/s
8.209.89.174	443	true	FRA	Europe	Frankfurt	259 ms	780 kB/s
47.254.154.100	443	true	FRA	Europe	Frankfurt	259 ms	772 kB/s
47.76.94.15	2053	true	HKG	Asia Pacific	Hong Kong	58 ms	745 kB/s
47.76.33.40	2083	true	HKG	Asia Pacific	Hong Kong	59 ms	726 kB/s
8.218.158.94	443	true	HKG	Asia Pacific	Hong Kong	68 ms	688 kB/s
8.218.158.94	2096	true	HKG	Asia Pacific	Hong Kong	69 ms	617 kB/s
47.76.33.40	8443	true	HKG	Asia Pacific	Hong Kong	68 ms	540 kB/s
8.210.21.65	2087	true	HKG	Asia Pacific	Hong Kong	61 ms	537 kB/s
8.210.21.65	8443	true	HKG	Asia Pacific	Hong Kong	56 ms	512 kB/s
8.218.158.94	8443	true	HKG	Asia Pacific	Hong Kong	61 ms	512 kB/s
8.218.156.91	8443	true	HKG	Asia Pacific	Hong Kong	64 ms	457 kB/s
47.76.94.15	8443	true	HKG	Asia Pacific	Hong Kong	61 ms	438 kB/s
8.210.21.65	2083	true	HKG	Asia Pacific	Hong Kong	56 ms	377 kB/s
47.76.94.15	2087	true	HKG	Asia Pacific	Hong Kong	59 ms	374 kB/s
47.254.178.60	443	true	FRA	Europe	Frankfurt	271 ms	368 kB/s
8.222.225.193	443	true	SIN	Asia Pacific	Singapore	226 ms	348 kB/s
47.254.155.35	443	true	FRA	Europe	Frankfurt	267 ms	345 kB/s
47.57.245.232	443	true	SJC	North America	San Jose	77 ms	342 kB/s
47.76.33.40	2053	true	HKG	Asia Pacific	Hong Kong	64 ms	320 kB/s
8.217.167.88	2096	true	HKG	Asia Pacific	Hong Kong	56 ms	275 kB/s
8.210.21.65	2053	true	HKG	Asia Pacific	Hong Kong	58 ms	233 kB/s
47.76.33.40	2087	true	HKG	Asia Pacific	Hong Kong	59 ms	211 kB/s
47.76.33.40	2096	true	HKG	Asia Pacific	Hong Kong	65 ms	128 kB/s
8.218.156.91	2087	true	HKG	Asia Pacific	Hong Kong	63 ms	128 kB/s
8.210.21.65	2096	true	HKG	Asia Pacific	Hong Kong	59 ms	128 kB/s
8.218.156.91	2096	true	HKG	Asia Pacific	Hong Kong	62 ms	99 kB/s
47.88.101.9	80	true	SJC	North America	San Jose	184 ms	54 kB/s
47.254.66.75	443	true	SJC	North America	San Jose	191 ms	41 kB/s
47.254.66.75	80	true	SJC	North America	San Jose	178 ms	33 kB/s
47.76.94.15	2096	true	HKG	Asia Pacific	Hong Kong	59 ms	25 kB/s
47.236.144.208	8443	true	SIN	Asia Pacific	Singapore	231 ms	0 kB/s
47.245.84.124	8443	true	SIN	Asia Pacific	Singapore	233 ms	0 kB/s
8.219.228.186	2083	true	SIN	Asia Pacific	Singapore	230 ms	0 kB/s
8.209.244.172	2096	true	NRT	Asia Pacific	Tokyo	116 ms	0 kB/s
47.236.110.238	443	true	SIN	Asia Pacific	Singapore	218 ms	0 kB/s
47.243.27.217	8443	true	HKG	Asia Pacific	Hong Kong	65 ms	0 kB/s
